"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","982616126.731235","1140605386.32331","1353312877.28631","1517467571.39906","1577580557.97556","1703201286.33414","1803389597.29497","1935175760.17422","2093935699.08138","2147271254.6931","2172733343.24449","2325843123.82104","2372173589.79832","2401542097.662","2584457669.54561","2692900552.02825","2667108731.32967","2697003796.23029","2893373340.18533","2882235963.0655","2915061916.68186","3005333289.12687","3060433996.98291","2702865573.66179","2629007178.02497","2717520017.24052","2689383485.56935","2862305919.79842","2861719742.05527","2963128491.62011","3025849510.13709","3191737811.44837","3232184075.72568","3164773635.2635","2458429454.7685","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","153829401247.696","154197967020.789","166504148339.396","175102979196.268","183122612039.834","192878865670.507","200424494995.014","210960429261.977","219449004570.601","231035751083.638","241896202781.842","254890027115.417","260371092098.563","271924388582.519","287937173078.741","292918714483.688","301255978833.202","304963670207.264","308115611474.247","316729677237.745","333894467085.439","348354611550.266","350125943497.583","350659371141.95","361199603624.801","359582551526.553","367803420757.96","383370518704.131","398696805198.892","410249596265.121","410086820278.211","410518645878.705","402393997641.669","400815405593.75","408935351764.277","426481788139.378","449668158388.591","469561496093.484","478239751908.746","490848476323.347","507295696971.68","525856130799.963","546329703370.247","563158712580.884","594179496010.577","630524274729.349","671854389817.701","716225550018.273","747334494876.688","753023347234.945","791820053991.52","820965924465.038","828543991489.836","863344569479.045","897743557072.02","924252536256.503","944743367528.776","968901732668.341","992981307027.626","1013098519257.66","983851827431.617","1026193534060.04",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7228792185.8025","7867259194.15068","7978511520.99477","8874475611.97397","9349917056.94245","10642666466.7061","11060389403.7128","13426265139.5021","15354604611.6719","15420069703.0793","17386481260.8962","18360253681.3442","18860486754.6234","19134211763.859","19566705069.6652","20084636379.3769","20323488524.6834","21118462796.7609","20621946475.7248","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","104844594469.394","106782910739.831","110808861307.841","118867368959.015","125281866902.474","130355522923.891","128025967157.695","115804014518.548","117501440421.375","135704631698.526","160007890260.99","177300732731.123","182878583963.259","190584016175.535","210118571804.514","205571049603.351","223206320201.471","233755336112.727","228626329338.491","240585344123.942","245386033779.559","228374376035.482","220723194427.164","206300958770.06","207455066219.492","218972163166.638","222069897463.169","225286301488.966","236199739076.699","241566470174.273","257420162530.248","260306049763.836","267318586873.741","264216443948.717","263424619998.855","268500931184.915","280929959654.772","292826378734.079","303094387659.953","307401366916.321","318881779809.304","335504078821.249","368717466850.512","389065045256.605","420242588400.76","444819904985.748","468726668612.85","494651465117.217","525711734629.456","558697505828.65","597566259897.929","626538259609.043","658761102718.812","698973147240.975","740403767841.78","760734474152.243","761707030761.304","779360954662.217","802369168769.616","828065395939.522","820637533071.23","852763842656.535",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","22133386922.5976","21159517628.2747","21159517628.2747","22048217670.9339","23371111208.5538","24189099981.6807","24890584302.6369","25906804293.523","27494603954.9324","27506047611.0248","26557061824.1007","26820337726.8437","25254491116.7766","19197601089.3727","19454726739.045","22372935755.517","25403208899.3158","27251108771.6214","28529498193.6019","29151866263.4077","30042346235.0428","31305926883.9358","35584097415.5957","36648061928.322","40661024711.6526","46772376721.972","52174586232.3678","59484245768.0126","66128636016.8582","66697342288.0268","69938833122.3168","72365710632.6099","78545742322.7333","82433756565.786","86407063631.1253","87219290028.7263","84969032349.0869","84841578800.8708","83724798831.4754","83138725241.4947","78566095350.4584","79116058021.7941",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4650625160.50326","4917833121.03684","5062840191.13157","5118781449.54479","5054714952.70562","5144721429.16823","5434741886.98793","5391924672.21704","5315357203.66803","5838204918.03678","5279159422.70218","3800881722.9158","3527708137.74186","3864936281.67144","4185836785.19754","4743487914.02322","5175145287.46805","4610020246.05598","5017058468.9282","5663797624.70068","6057217275.07","6559561240.44323","6857137320.92933","7236243583.8751","7635298386.75535","8057257368.12833","8532849798.21543","9043392345.97121","9721650518.61472","10047742806.5926","10420206418.1606","10685442992.5982","10836881664.049","10945469119.1889","11139690870.3865","11386850129.8411","11764322012.1433","12211628287.161","12702457551.4349","12967692915.4374","12516205780.1976","13585600821.9453",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859121720.825671","899066287.645476","972337883.873955","1048068101.06496","1106956843.87976","1112958826.53342","1149728616.07193","1182364531.66875","1199662526.88248","1200161072.98062","1226669361.97932","1225044337.74228","1240314039.00149","1262269064.99208","1284796612.98647","1314622305.97587","1357391199.73216","1432687347.91701","1505673114.89098","1578352471.84563","1638036096.2748","1679740553.0064","1695348938.06262","1677861678.41049","1717848180.07992","1765217871.35903","1847295889.29006","2014802622.35064","2079171403.40932","2164398280.15413","2240766094.41807","2422701909.33042","2532846713.48552","2753057566.57311","2977037419.5986","3137731825.90577","3288615581.62834","3339693968.84633","3154034156.98041","2986780565.70671","2927792903.99219","2927556638.32444","2781926981.02275","2683235436.38042","2750436142.73572","2789881258.50362","2893376871.7235","2903390035.7376","2949518094.67896","3008967036.98289","2672445970.88657","2911614331.12446",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","568179002276.435","657640519766.086","710853968542.124","706703898054.301","784322207683.452","855229536258","884223667276.243","810805953378.216","760421592363.001","770311940654.311","754772510262.572","788686694926.555","788055347293.461","833891193926.901","851870208125.126","954640140163.472","977666998379.507","1028416644584.5","1060960273920.62","1095903566937.88","1129175399423.53","1182433956426.34","1238427631834.89","1302018965964.04","1325805526297.32","1412516141394.31","1436701925116.08","1446493538660.68","1516947755129.95","1651264790116.21","1742421972208","1848373096433.26","1932893751330.57","2040386996750.24","2048853472138.65","2146239112698.82","2215854274416.4","2328302164606.98","2388004888911.25","2444091462544.26","2518700620586.27","2598673061924.73","2630964380793.06","2693157253895.53","2735879327632.46","2597679595378.18","2689385323763.42",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","54529816487.7434","63541881011.6659","77164834678.1119","75938219904.261","91827208839.3136","113750748256.293","119050596585.624","111051210580.065","105780919240.793","110030087229.803","106075081582.288","90208226018.2696","93259051722.2287","90816683232.1539","102021546875.492","120720041228.028","121758332507.566","125831081594.642","127418051809.884","136204989942.881","145314225028.059","153740130953.764","166332060549.72","166817740766.577","171659148000.794","190288807587.188","192951109808.526","197646491730.83","215040451904.749","235612160480.483","247051463547.485","271354706021.725","279995698616.079","288932702896.037","273784186920.35","278172536892.518","297445745032.07","310782593506.361","326486679916.076","340885020862.424","358134944420.504","368822465060.53","377576654578.768","382069271704.777","395103712717.624","370866072290.136","",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571304530654.919","514772410744.886","567607420306.47",
